,F_MASV,F_MAMH,F_NHHK,F_DIEM4,PREDICT_SCORE
219,28554.0,3161.0,20142,3.0,3.5
220,10714.0,501.0,20142,3.0,2.1
221,25022.0,1211.0,20141,3.5,2.9
222,47629.0,1186.0,20141,0.0,2.9
223,25301.0,1320.0,20141,3.0,2.6
224,91891.0,1598.0,20141,2.5,3.1
225,10510.0,4171.0,20141,4.0,2.9
226,96384.0,4171.0,20141,4.0,3.3
227,34719.0,1394.0,20141,2.0,2.1
228,42762.0,1186.0,20141,2.5,2.9
229,36088.0,3626.0,20141,3.0,2.7
230,37403.0,2074.0,20141,3.0,3.5
231,39648.0,2066.0,20141,2.0,3.5
232,45832.0,3657.0,20141,1.0,2.7
233,37831.0,3989.0,20141,3.0,2.5
234,31105.0,3649.0,20141,2.0,2.7
235,51801.0,2224.0,20162,4.0,3.5
236,7076.0,315.0,20142,3.0,2.7
237,7121.0,510.0,20142,4.0,2.1
238,7154.0,309.0,20142,2.5,2.7
239,30199.0,4804.0,20142,2.5,3.3
240,91778.0,1551.0,20142,2.5,2.7
241,13656.0,1546.0,20141,2.0,2.6
242,31140.0,589.0,20141,2.0,2.0
243,38347.0,2226.0,20142,3.0,3.4
244,33945.0,1671.0,20142,3.0,2.9
245,21256.0,1661.0,20142,3.5,2.9
246,21556.0,3328.0,20142,2.5,3.5
247,32828.0,1681.0,20142,2.5,2.9
248,7123.0,313.0,20142,4.0,2.7
249,40178.0,3003.0,20142,4.0,3.5
250,22067.0,1541.0,20142,3.5,2.6
251,6437.0,457.0,20142,3.5,2.1
252,34381.0,1535.0,20142,3.5,2.6
253,7174.0,937.0,20142,1.0,2.7
254,30273.0,3474.0,20141,3.0,3.3
255,30264.0,4731.0,20141,3.0,3.6
256,24800.0,1199.0,20112,3.5,2.9
257,94949.0,1598.0,20112,3.0,3.1
258,5410.0,760.0,20112,2.0,2.3
259,2908.0,793.0,20112,3.0,2.4
260,18947.0,2170.0,20112,3.5,3.1
261,10080.0,1686.0,20112,4.0,2.9
262,15300.0,3475.0,20123,3.5,3.3
263,22710.0,1681.0,20123,4.0,2.9
264,30462.0,3474.0,20123,1.5,3.3
265,20111.0,1407.0,20111,3.5,2.3
266,21897.0,2672.0,20111,2.5,3.3
267,20089.0,1407.0,20111,3.5,2.3
268,34632.0,1523.0,20141,3.0,3.2
269,14568.0,20.0,20141,3.0,1.3
270,41549.0,4797.0,20141,2.0,3.3
271,46746.0,3643.0,20141,3.0,2.7
272,9280.0,612.0,20141,0.0,2.4
273,43156.0,3643.0,20141,1.5,2.7
274,57951.0,2735.0,20192,4.0,3.3
275,58011.0,2735.0,20192,4.0,3.3
276,67655.0,1597.0,20192,3.0,2.4
277,64446.0,2800.0,20191,4.0,2.9
278,61376.0,3886.0,20191,3.5,3.5
279,68070.0,1462.0,20191,3.5,3.2
280,67668.0,1594.0,20191,3.0,2.4
281,67638.0,1595.0,20191,3.0,2.5
282,66090.0,1637.0,20191,3.5,2.7
283,58346.0,3282.0,20191,2.5,3.3
284,58075.0,3251.0,20191,3.0,3.5
285,81848.0,1681.0,20191,2.5,2.8
286,62539.0,1935.0,20191,1.5,3.7
287,72100.0,1455.0,20191,3.0,2.7
288,71715.0,1779.0,20191,3.0,3.2
289,72643.0,2647.0,20191,3.5,4.0
290,66763.0,3205.0,20191,4.0,3.2
291,67017.0,2751.0,20191,4.0,3.1
292,66765.0,2734.0,20191,4.0,3.3
293,67363.0,3357.0,20191,3.5,3.4
294,73678.0,1287.0,20191,3.0,2.7
295,68393.0,1280.0,20191,3.5,2.8
296,70012.0,4199.0,20191,3.0,3.8
297,73608.0,3205.0,20191,4.0,3.4
298,66793.0,2737.0,20191,2.5,3.3
299,70225.0,661.0,20191,4.0,3.0
300,72629.0,2605.0,20191,3.5,4.0
301,70269.0,647.0,20191,4.0,3.0
302,20918.0,1396.0,20111,2.5,2.1
303,19998.0,1414.0,20111,2.0,2.3
304,23948.0,1278.0,20111,2.0,2.6
305,20054.0,1401.0,20111,3.0,2.1
306,80462.0,1681.0,20193,2.0,2.8
307,80231.0,1686.0,20193,3.0,2.8
308,70928.0,808.0,20193,1.0,3.3
309,69684.0,3687.0,20193,3.0,3.0
310,64402.0,2895.0,20191,4.0,2.9
311,25080.0,1321.0,20131,2.5,2.6
312,95478.0,3121.0,20131,4.0,3.6
313,13227.0,654.0,20131,4.0,2.4
314,14026.0,4132.0,20131,4.0,2.3
315,27291.0,4597.0,20131,3.0,3.5
316,73495.0,751.0,20201,2.0,2.5
317,70465.0,862.0,20201,3.0,3.7
318,74278.0,2846.0,20201,3.0,3.9
319,69071.0,238.0,20201,3.5,3.0
320,70672.0,1770.0,20201,3.5,2.1
321,69380.0,655.0,20201,3.0,3.5
322,70140.0,3967.0,20201,3.5,3.1
323,70305.0,3928.0,20201,3.0,2.9
324,74024.0,811.0,20201,0.0,2.5
325,80288.0,1454.0,20201,2.0,3.4
326,79895.0,1414.0,20201,3.0,3.5
327,81077.0,2336.0,20201,3.0,4.0
328,81052.0,2336.0,20201,3.0,4.0
329,74737.0,2232.0,20201,3.5,3.9
330,74498.0,2105.0,20201,3.5,3.8
331,77382.0,2528.0,20201,3.5,4.0
332,79611.0,813.0,20201,4.0,1.9
333,78863.0,4731.0,20201,4.0,3.6
334,79781.0,2496.0,20201,3.5,4.0
335,74447.0,2095.0,20201,4.0,3.8
336,76455.0,202.0,20201,4.0,2.8
337,83479.0,1441.0,20201,3.5,2.8
338,33629.0,3627.0,20132,1.5,2.7
339,27648.0,3170.0,20131,4.0,3.5
340,8089.0,1400.0,20131,1.5,2.1
341,25207.0,1261.0,20131,4.0,2.9
342,24986.0,1323.0,20131,2.0,2.6
343,29549.0,4753.0,20131,4.0,3.5
344,25038.0,1295.0,20131,4.0,2.6
345,14847.0,169.0,20131,4.0,1.3
346,15482.0,3472.0,20131,3.0,3.3
347,38157.0,3643.0,20131,4.0,2.7
348,28000.0,1700.0,20132,1.5,2.9
349,95879.0,1655.0,20132,3.5,2.6
350,37040.0,3626.0,20132,3.0,2.7
351,39664.0,2069.0,20132,2.0,3.5
352,32884.0,3031.0,20132,4.0,3.5
353,35332.0,3644.0,20132,1.5,2.7
354,15807.0,2294.0,20132,4.0,3.4
355,32199.0,4801.0,20132,2.5,3.3
356,38617.0,1685.0,20132,1.5,2.9
357,4965.0,974.0,20132,4.0,2.7
358,28336.0,4414.0,20132,4.0,3.5
359,92287.0,3629.0,20132,4.0,3.0
360,29428.0,4730.0,20131,4.0,3.6
361,32262.0,1340.0,20131,2.5,2.6
362,10398.0,2105.0,20131,4.0,2.9
363,14733.0,2239.0,20131,1.5,3.4
364,14471.0,2234.0,20131,4.0,3.4
365,95510.0,2275.0,20131,4.0,3.8
366,10453.0,2215.0,20131,3.5,3.3
367,21298.0,1583.0,20131,3.0,1.8
368,14917.0,2173.0,20131,3.0,3.1
369,4377.0,3257.0,20131,3.0,3.5
370,7203.0,439.0,20131,3.0,2.1
371,55701.0,1684.0,20151,3.0,3.1
372,37183.0,511.0,20151,3.5,2.1
373,35003.0,1684.0,20132,3.5,2.9
374,35179.0,3010.0,20132,4.0,3.5
375,21961.0,1559.0,20132,3.0,2.6
376,96335.0,4117.0,20132,3.5,3.2
377,38481.0,4375.0,20132,3.0,2.8
378,25164.0,1344.0,20132,2.5,2.6
379,92604.0,2070.0,20132,1.5,3.8
380,33194.0,1684.0,20132,3.5,2.9
381,33495.0,3328.0,20132,3.0,3.5
382,8152.0,3009.0,20132,3.0,3.5
383,95897.0,1655.0,20132,3.0,2.6
384,14643.0,2349.0,20132,3.5,3.4
385,7403.0,761.0,20132,2.0,2.3
386,30305.0,4785.0,20132,2.0,3.5
